name,namespace,description,created_at,updated_at,url,homepage,rm,archive,lab_project,personal_project,workshops_and_colearning,methods,meta_lab,is_package,uses_targets
Movement,WEEL_grp,"R scripts for analysis of animal movement (eg: step length, kernel overlap)",2016-12-15T15:17:52.642Z,2024-01-20T10:07:43.200Z,https://gitlab.com/WEEL_grp/movement.git,https://gitlab.com/WEEL_grp/movement,,,,,,TRUE,,,
Implementations,WEEL_grp,"Implementations of methods from other repositories, specific use cases. ",2016-12-15T15:17:52.666Z,2023-06-20T18:30:28.827Z,https://gitlab.com/WEEL_grp/implementations.git,https://gitlab.com/WEEL_grp/implementations,,,,,,TRUE,,,
Core,WEEL_grp,"Documentation and instruction for using repository, Git, R style guide, etc. ",2016-12-15T15:17:52.688Z,2024-01-20T09:07:40.893Z,https://gitlab.com/WEEL_grp/core.git,https://gitlab.com/WEEL_grp/core,,,,,,TRUE,,,
Miscellaneous,WEEL_grp,Miscellaneous... so far: text mining.,2016-12-15T15:17:52.710Z,2024-01-20T09:07:40.789Z,https://gitlab.com/WEEL_grp/miscellaneous.git,https://gitlab.com/WEEL_grp/miscellaneous,,,,,,TRUE,,,
Network,WEEL_grp,"R scripts for network analysis (eg: HWI, HWIG, groups from locs, pairwise distance)",2017-01-07T18:52:48.020Z,2024-01-20T09:36:03.432Z,https://gitlab.com/WEEL_grp/Network.git,https://gitlab.com/WEEL_grp/Network,,,,,,TRUE,,,
LitMine_OceanTemp_HostPatho,robitalec,,2017-03-03T16:30:50.846Z,2024-01-19T22:23:47.549Z,https://gitlab.com/robitalec/LitMine_OceanTemp_HostPatho.git,https://gitlab.com/robitalec/LitMine_OceanTemp_HostPatho,,,,TRUE,,,,,
ee-robitalec,robitalec,Earth Engine repo pulls + R scripts for external processing,2017-04-19T15:06:39.905Z,2024-01-20T00:05:58.947Z,https://gitlab.com/robitalec/ee_robitalec.git,https://gitlab.com/robitalec/ee_robitalec,,,,,,TRUE,,,
ecta-app-tiles,robitalec,,2017-05-19T20:03:31.934Z,2024-01-20T01:08:37.743Z,https://gitlab.com/robitalec/ecta-app-tiles.git,https://gitlab.com/robitalec/ecta-app-tiles,,,,TRUE,,,,,
guides,robitalec,"for building wikis, how-tos, documentation",2017-08-01T22:13:41.145Z,2024-01-18T17:47:28.374Z,https://gitlab.com/robitalec/guides.git,https://gitlab.com/robitalec/guides,,,,,TRUE,,,,
spatsoc,ropensci,:package: spatsoc is an R package for detecting spatial and temporal groups in GPS relocations. ,2017-08-01T22:23:05.644Z,2024-11-22T20:48:43.547Z,https://github.com/ropensci/spatsoc,https://docs.ropensci.org/spatsoc,,,,TRUE,,TRUE,,TRUE,
MRSF,WEEL_grp,,2017-10-27T13:41:25.715Z,2024-01-19T01:26:23.736Z,https://gitlab.com/WEEL_grp/MRSF.git,https://gitlab.com/WEEL_grp/MRSF,,,,,,TRUE,,,
